soc_id	pref_name_for_society	region	code_ea	code_eco	title_ea	title_eco
Ad1	Bajuni	East Tropical Africa	7	0.609922767	Cousin marriages preferred	Precipitation predictability
Ad10	Shambaa	East Tropical Africa	15	0.71141	Cousin marriages preferred	Precipitation predictability
Ad11	Bena	East Tropical Africa	15	0.72637633	Cousin marriages preferred	Precipitation predictability
Ad12	Gusii	East Tropical Africa	15	0.603816951	Cousin marriages preferred	Precipitation predictability
Ad13	Kiga	West-Central Tropical Africa	5	0.703627719	Cousin marriages preferred	Precipitation predictability
Ad14	Luguru	East Tropical Africa	2	0.695449442	Cousin marriages preferred	Precipitation predictability
Ad15	Iwa	South Tropical Africa	1	0.721866675	Cousin marriages preferred	Precipitation predictability
Ad16	Ngonde	South Tropical Africa	15	0.726040109	Cousin marriages preferred	Precipitation predictability
Ad18	Bende	East Tropical Africa	15	0.666615506	Cousin marriages preferred	Precipitation predictability
Ad19	Fipa	East Tropical Africa	15	0.695102471	Cousin marriages preferred	Precipitation predictability
Ad2	Nyoro	East Tropical Africa	15	0.593896955	Cousin marriages preferred	Precipitation predictability
Ad20	Nyamwezi	East Tropical Africa	15	0.670562023	Cousin marriages preferred	Precipitation predictability
Ad21	Pimbwe	East Tropical Africa	15	0.666615506	Cousin marriages preferred	Precipitation predictability
Ad22	Sukuma	East Tropical Africa	15	0.631092523	Cousin marriages preferred	Precipitation predictability
Ad23	Sangu	East Tropical Africa	15	0.730191172	Cousin marriages preferred	Precipitation predictability
Ad24	Gogo	East Tropical Africa	2	0.715083965	Cousin marriages preferred	Precipitation predictability
Ad26	Turu	East Tropical Africa	15	0.693536368	Cousin marriages preferred	Precipitation predictability
Ad27	Kwere	East Tropical Africa	15	0.709989626	Cousin marriages preferred	Precipitation predictability
Ad29	Hadimu	East Tropical Africa	15	0.688877033	Cousin marriages preferred	Precipitation predictability
Ad3	Chagga	East Tropical Africa	15	0.697529515	Cousin marriages preferred	Precipitation predictability
Ad30	Digo	East Tropical Africa	15	0.695016121	Cousin marriages preferred	Precipitation predictability
Ad31	Duruma	East Tropical Africa	15	0.695016121	Cousin marriages preferred	Precipitation predictability
Ad32	Giriama	East Tropical Africa	15	0.62801422	Cousin marriages preferred	Precipitation predictability
Ad33	Pokomo	East Tropical Africa	15	0.654893638	Cousin marriages preferred	Precipitation predictability
Ad35	Meru	East Tropical Africa	15	0.543744024	Cousin marriages preferred	Precipitation predictability
Ad38	Kara	East Tropical Africa	15	0.620993094	Cousin marriages preferred	Precipitation predictability
Ad39	Sonjo	East Tropical Africa	15	0.67656979799999994	Cousin marriages preferred	Precipitation predictability
Ad4	Kikuyu	East Tropical Africa	15	0.694980112	Cousin marriages preferred	Precipitation predictability
Ad40	Tiriki	East Tropical Africa	15	0.543744024	Cousin marriages preferred	Precipitation predictability
Ad41	Vugusu	East Tropical Africa	15	0.500903488	Cousin marriages preferred	Precipitation predictability
Ad42	Haya	East Tropical Africa	15	0.646624755	Cousin marriages preferred	Precipitation predictability
Ad43	Kerewe	East Tropical Africa	15	0.62751135	Cousin marriages preferred	Precipitation predictability
Ad45	Nyankole	East Tropical Africa	15	0.663037149	Cousin marriages preferred	Precipitation predictability
Ad46	Soga	East Tropical Africa	15	0.567694527	Cousin marriages preferred	Precipitation predictability
